date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-27,-0.014862,0.218937,-0.028236,-0.010854,0.462863,394.03297,,171.424992,6465.189143
2026-01-28,-0.014862,0.220667,-0.028236,-0.010865,0.462867,392.680512,,173.660591,6464.90977
2026-01-29,-0.014862,0.221817,-0.028236,-0.010872,0.462868,392.393164,,174.318565,6464.90977
2026-01-30,-0.014862,0.221352,-0.028236,-0.010872,0.462867,396.077289,,169.747054,6470.958164
2026-02-02,-0.017665,0.222564,-0.028377,-0.011014,0.462867,396.643866,,168.907144,6468.165103
2026-02-03,-0.017925,0.222478,-0.028977,-0.010339,0.434795,398.085834,,167.362183,6472.541948
2026-02-04,-0.017925,0.22378,-0.028977,-0.010339,0.434794,398.433844,,168.05438,6480.565382
2026-02-05,-0.017925,0.222896,-0.028977,-0.010339,0.434793,396.983247,,169.892107,6480.565382
2026-02-06,-0.017925,0.222937,-0.028977,-0.010346,0.434794,396.292616,,170.856683,6480.472258
2026-02-09,-0.017925,0.221789,-0.028977,-0.01035,0.434795,395.834472,,171.140388,6479.538335
2026-02-10,-0.017925,0.219746,-0.028977,-0.010346,0.434794,396.513706,,171.498605,6495.264293
2026-02-11,-0.017925,0.219965,-0.028977,-0.010346,0.434795,395.794207,,173.743639,6505.978954
2026-02-12,-0.017925,0.220982,-0.028977,-0.01035,0.434795,396.956056,,172.149929,6504.190833
2026-02-13,-0.017925,0.222959,-0.028977,-0.01035,0.434796,401.084296,,168.121065,6515.878945
2026-02-16,-0.017925,0.223585,-0.02908,-0.010449,0.434793,400.150263,,168.729624,6508.427656
2026-02-20,-0.017925,0.22431,-0.02908,-0.010449,0.434793,400.714119,,168.086645,6508.333192
2026-02-23,-0.017925,0.224976,-0.02908,-0.010442,0.434793,397.745755,,172.404849,6508.427656
2026-02-24,-0.017925,0.227206,-0.02908,-0.010442,0.434793,400.003379,,169.726965,6508.427656
2026-02-25,-0.017925,0.230065,-0.02908,-0.010431,0.434792,404.921227,,166.073552,6531.972041
2026-02-26,-0.017925,0.22914,-0.029119,-0.010466,0.43479,405.660819,,166.322443,6545.189671
2026-02-27,-0.017925,0.228904,-0.029119,-0.010466,0.43479,408.617807,,165.156594,6572.266753
2026-03-02,-0.017925,0.250257,-0.029119,-0.010466,0.43479,413.786679,,160.477202,6555.974679
2026-03-03,-0.01877,0.258758,-0.028683,-0.011295,0.462876,411.530366,,162.932933,6533.016508
