date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-22,-0.018027,0.314736,-0.027742,-0.015929,0.709043,174.761142,,61.769705,2671.292662
2026-01-23,-0.018027,0.315416,-0.027742,-0.015929,0.709044,176.100726,,62.077246,2689.97562
2026-01-26,-0.018027,0.315094,-0.027742,-0.015796,0.709042,177.050181,,63.55851,2713.740366
2026-01-27,-0.018027,0.315267,-0.027742,-0.015929,0.709044,176.254215,,65.361943,2717.865703
2026-01-28,-0.018027,0.318094,-0.027742,-0.016009,0.709047,178.954491,,65.447962,2750.168931
2026-01-29,-0.018027,0.318369,-0.027742,-0.015929,0.709045,178.195448,,65.520728,2741.044194
2026-01-30,-0.018027,0.317508,-0.027742,-0.016009,0.709045,177.5326,,66.14273,2738.289149
2026-02-02,-0.018027,0.318489,-0.027742,-0.016009,0.709046,175.390491,,66.251346,2711.617954
2026-02-03,-0.018027,0.318803,-0.027742,-0.016009,0.709046,174.069701,,66.915157,2700.068538
2026-02-04,-0.018027,0.318413,-0.027742,-0.016009,0.709047,175.580519,,64.976213,2704.056382
2026-02-05,-0.018027,0.320197,-0.028236,-0.016423,0.709043,176.487635,,63.271825,2700.737725
2026-02-06,-0.018027,0.322301,-0.029606,-0.017794,0.70903,175.932227,,63.661094,2695.298293
2026-02-09,-0.018027,0.322036,-0.029608,-0.017874,0.709043,175.918224,,65.065012,2706.262818
2026-02-10,-0.018027,0.322908,-0.029608,-0.017874,0.709044,177.460438,,64.973428,2724.174833
2026-02-11,-0.018027,0.32308,-0.029608,-0.017794,0.709042,177.27793,,64.85866,2720.871181
2026-02-12,-0.018027,0.321866,-0.029607,-0.017661,0.709041,177.205205,,64.46133,2717.769131
2026-02-13,-0.018027,0.323332,-0.028904,-0.017534,0.707511,177.55852,,63.809563,2716.027006
2026-02-16,-0.018027,0.324328,-0.028904,-0.017534,0.707509,177.033072,,64.719859,2715.801671
2026-02-17,-0.018027,0.323446,-0.028904,-0.017534,0.707509,176.662612,,64.713617,2711.778635
2026-02-18,-0.018027,0.323063,-0.028904,-0.017509,0.707509,176.11083,,65.620818,2712.228761
2026-02-19,-0.018027,0.328812,-0.028905,-0.017615,0.707517,175.618846,,65.111426,2697.808632
2026-02-20,-0.018027,0.328717,-0.028904,-0.017509,0.707514,174.637932,,66.10646,2693.299733
2026-02-23,-0.018027,0.329779,-0.028905,-0.017509,0.707519,175.345185,,67.012047,2708.312664
2026-02-24,-0.018027,0.329048,-0.028905,-0.017509,0.707516,175.156895,,66.031138,2698.953862
2026-02-25,-0.018027,0.329902,-0.028904,-0.017509,0.707514,173.812164,,67.743901,2694.695124
2026-02-26,-0.018027,0.332076,-0.029637,-0.018014,0.724262,174.515539,,68.009372,2703.832955
2026-02-27,-0.018027,0.331901,-0.028905,-0.017476,0.707521,174.85217,,67.082477,2701.05636
2026-03-02,-0.018027,0.332558,-0.028905,-0.017476,0.707516,175.109898,,65.429416,2691.082931
2026-03-03,-0.018784,0.333319,-0.02893,-0.017458,0.707507,175.987903,,62.216833,2676.854583
2026-03-04,-0.022898,0.34894,-0.030491,-0.018918,0.7075,175.554132,,61.834829,2657.39577
2026-03-05,-0.022898,0.34894,-0.030491,-0.018844,0.707499,177.162153,,59.864647,2662.744904
2026-03-06,-0.024257,0.365222,-0.030819,-0.019173,0.707498,178.078242,,58.967798,2656.439593
2026-03-09,-0.024257,0.365222,-0.030819,-0.019168,0.707498,177.184461,,57.839708,2637.032341
2026-03-10,-0.023954,0.372483,-0.030819,-0.019168,0.707488,178.014525,,60.051254,2658.537999
2026-03-11,-0.023954,0.372483,-0.030819,-0.019168,0.707488,178.075683,,59.757098,2657.17971
2026-03-12,-0.023954,0.372483,-0.030819,-0.019137,0.707487,178.039589,,57.660459,2641.598255
2026-03-13,-0.023954,0.372483,-0.032276,-0.020594,0.707486,178.079579,,56.907937,2636.667602
