date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-21,-0.03369,0.409358,-0.025473,-0.012566,0.497719,41.345885,,380.240941,3099.564
2026-01-22,-0.03369,0.409198,-0.025473,-0.012566,0.497719,39.78142,,383.015897,3099.564
2026-01-23,-0.03369,0.409719,-0.025473,-0.012566,0.497719,42.860009,,377.685079,3099.564
2026-01-26,-0.03369,0.41099,-0.025473,-0.012566,0.49772,42.1146,,379.875822,3099.564
2026-01-27,-0.03369,0.410696,-0.025473,-0.012566,0.497719,41.417764,,380.971179,3099.564
2026-01-28,-0.03369,0.410825,-0.025473,-0.012566,0.497719,42.888106,,378.342304,3099.564
2026-01-29,-0.03369,0.41458,-0.025473,-0.01249,0.497728,39.200036,,387.616477,3099.564
2026-01-30,-0.03369,0.41529,-0.025473,-0.012566,0.49773,38.98189,,388.492769,3099.564
2026-02-02,-0.03369,0.415137,-0.025473,-0.012587,0.49773,35.665963,,394.553826,3099.564
2026-02-03,-0.03369,0.415814,-0.025473,-0.012609,0.497731,34.263301,,397.620888,3099.564
2026-02-04,-0.03369,0.414313,-0.025473,-0.012624,0.497732,30.054988,,404.412211,3099.564
2026-02-05,-0.03369,0.413637,-0.025473,-0.012643,0.497733,31.536568,,401.199095,3099.564
2026-02-06,-0.03369,0.412929,-0.025473,-0.012624,0.497732,25.004354,,412.810065,3099.564
2026-02-09,-0.03369,0.414125,-0.025473,-0.012624,0.497733,25.930858,,411.933773,3099.564
2026-02-10,-0.03369,0.413611,-0.025473,-0.01261,0.497765,29.754429,,404.485224,3099.564
2026-02-11,-0.03369,0.414349,-0.025473,-0.012609,0.497732,36.088203,,393.239374,3099.564
2026-02-12,-0.03369,0.415715,-0.026601,-0.013738,0.497747,41.80313,,383.52707,3099.564
2026-02-13,-0.03369,0.416916,-0.027101,-0.014215,0.497729,42.10933,,383.746136,3099.564
2026-02-17,-0.03369,0.416647,-0.027101,-0.014215,0.49773,41.269886,,385.133628,3099.564
2026-02-18,-0.03369,0.417388,-0.027101,-0.014215,0.497731,39.10549,,389.661167,3099.564
2026-02-19,-0.03369,0.417702,-0.027101,-0.014215,0.49773,41.526069,,385.352694,3099.564
2026-02-20,-0.03369,0.418141,-0.027101,-0.014215,0.49773,40.54807,,387.470424,3099.564
2026-02-23,-0.03369,0.41826,-0.027101,-0.014237,0.497731,48.368136,,372.938446,3099.564
2026-02-24,-0.03369,0.420363,-0.028047,-0.015183,0.49773,51.659805,,368.1188,3099.564
2026-02-25,-0.035373,0.420198,-0.028047,-0.015183,0.497729,46.618091,,377.465985,3099.564
2026-02-26,-0.035373,0.421146,-0.028047,-0.015199,0.497731,44.575106,,381.920512,3099.564
2026-02-27,-0.035373,0.419935,-0.028048,-0.015218,0.497733,53.775157,,363.883367,3099.564
2026-03-02,-0.035373,0.481866,-0.028751,-0.015921,0.49773,74.577788,,363.737313,3099.564
2026-03-03,-0.035373,0.481866,-0.027192,-0.015126,0.473443,74.020788,,364.905712,3099.564
2026-03-04,-0.035373,0.481866,-0.027028,-0.014976,0.468749,72.871999,,367.315521,3099.564
2026-03-05,-0.037132,0.500122,-0.02703,-0.014995,0.468781,81.401429,,363.737313,3108.495
2026-03-06,-0.037132,0.500122,-0.026524,-0.014476,0.473468,85.330648,,355.193379,3108.495
2026-03-09,-0.037132,0.500122,-0.026523,-0.014476,0.473457,87.815738,,349.789548,3108.495
2026-03-10,-0.036805,0.499169,-0.026524,-0.014476,0.473464,85.288277,,354.609194,3108.495
2026-03-11,-0.036805,0.499169,-0.026524,-0.014476,0.473471,85.422876,,354.317087,3108.495
2026-03-12,-0.035755,0.50066,-0.025625,-0.013577,0.473499,90.571828,,344.166623,3108.495
2026-03-13,-0.035755,0.500659,-0.026524,-0.014476,0.473481,91.947118,,341.172601,3108.495
2026-03-16,-0.035755,0.500659,-0.026524,-0.014458,0.473469,90.806513,,343.655451,3108.495
2026-03-17,-0.035755,0.500659,-0.026524,-0.014476,0.473475,90.068412,,345.261981,3108.495
2026-03-18,-0.035755,0.500659,-0.026523,-0.014476,0.473456,91.578072,,341.97588,3108.495
2026-03-19,-0.035755,0.500659,-0.026523,-0.014457,0.473439,90.974186,,343.290304,3108.495
