date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-19,-0.038481,0.605147,-0.015345,-0.00943,0.305331,69.454423,,49.649006,1093.626972
2026-01-20,-0.038481,0.605872,-0.015344,-0.009396,0.305305,69.541491,,49.247968,1092.483568
2026-01-21,-0.038481,0.605327,-0.0151,-0.009041,0.294138,69.549085,,48.755313,1090.651202
2026-01-22,-0.038481,0.604992,-0.015098,-0.008978,0.294068,69.277714,,49.844668,1092.395667
2026-01-23,-0.038481,0.605007,-0.015272,-0.009282,0.302003,69.049182,,49.016751,1085.76967
2026-01-26,-0.038481,0.604925,-0.015098,-0.008978,0.294068,68.214254,,48.483729,1072.957439
2026-01-27,-0.038481,0.604214,-0.015219,-0.009148,0.299634,67.776053,,49.342431,1071.784676
2026-01-28,-0.038481,0.604613,-0.015345,-0.009385,0.305328,67.436231,,47.821358,1060.394404
2026-01-29,-0.038481,0.605769,-0.015344,-0.00933,0.305295,67.489667,,47.798118,1060.321096
2026-01-30,-0.038481,0.605172,-0.015098,-0.008911,0.294069,67.316517,,48.522215,1061.772414
2026-02-02,-0.038481,0.608318,-0.015183,-0.009105,0.297945,67.600093,,50.31845,1071.652738
2026-02-03,-0.038481,0.609194,-0.015345,-0.00933,0.305316,67.59596,,50.547061,1072.12186
2026-02-04,-0.038401,0.608263,-0.015345,-0.009397,0.305331,68.097876,,48.611339,1070.216098
2026-02-05,-0.038401,0.602885,-0.015733,-0.009622,0.294125,68.74019,,47.103272,1074.364719
2026-02-06,-0.039514,0.606199,-0.016506,-0.010318,0.294065,69.047408,,48.82365,1084.201092
2026-02-09,-0.039514,0.604439,-0.016506,-0.010318,0.294063,68.247203,,49.261733,1077.179281
2026-02-10,-0.039514,0.60437,-0.016506,-0.010395,0.294067,68.317907,,47.770118,1071.315553
2026-02-11,-0.039514,0.60756,-0.016506,-0.010394,0.294064,68.590416,,48.254656,1075.156347
2026-02-12,-0.039514,0.605273,-0.016506,-0.010394,0.294063,69.052519,,46.886313,1075.99044
2026-02-13,-0.039514,0.607211,-0.016505,-0.010318,0.294058,69.505986,,45.927986,1076.285073
2026-02-16,-0.039514,0.602645,-0.01602,-0.009833,0.294062,68.913169,,46.547164,1074.115522
2026-02-17,-0.039514,0.603591,-0.016023,-0.009837,0.294206,68.57963,,47.920067,1075.698691
2026-02-18,-0.039514,0.603719,-0.01602,-0.009833,0.294063,68.45681,,49.37251,1080.712162
2026-02-19,-0.039514,0.604295,-0.016023,-0.009836,0.294173,69.502078,,47.781227,1086.209434
2026-02-20,-0.039514,0.607127,-0.016506,-0.010318,0.29406,69.589578,,48.503258,1089.009316
2026-02-23,-0.039514,0.605906,-0.016506,-0.010395,0.294066,69.563139,,47.144996,1083.204218
2026-02-24,-0.039514,0.606557,-0.016506,-0.010318,0.29406,69.891536,,46.960563,1086.121446
2026-02-25,-0.039514,0.606455,-0.016506,-0.010318,0.294061,69.499832,,48.020451,1086.077496
2026-02-26,-0.039514,0.606601,-0.016506,-0.010395,0.294066,69.111176,,48.039679,1081.225235
2026-02-27,-0.039514,0.604172,-0.016506,-0.010394,0.29406,70.080815,,46.254378,1086.56121
2026-03-02,-0.039514,0.670754,-0.016738,-0.010627,0.294058,73.858102,,44.953854,1093.436405
2026-03-03,-0.040208,0.672151,-0.016861,-0.010674,0.294047,74.355629,,43.410368,1093.113899
2026-03-04,-0.041348,0.654387,-0.020683,-0.013308,0.361616,73.696149,,44.426035,1097.775593
2026-03-05,-0.038088,0.629799,-0.020502,-0.01322,0.361628,73.082153,,42.971757,1096.470892
2026-03-06,-0.039048,0.630622,-0.020772,-0.013473,0.371179,73.631563,,41.685432,1097.467767
2026-03-09,-0.038734,0.622762,-0.019805,-0.012947,0.359233,73.886369,,41.153824,1102.114782
2026-03-10,-0.038734,0.622762,-0.019805,-0.012947,0.359235,72.477903,,42.867011,1091.941224
2026-03-11,-0.037709,0.613237,-0.019654,-0.012889,0.359242,72.409978,,42.111015,1092.424938
2026-03-12,-0.038947,0.629833,-0.017726,-0.011838,0.329948,73.988488,,40.076704,1095.459426
2026-03-13,-0.038947,0.629833,-0.017864,-0.011891,0.329941,74.260068,,39.845026,1097.86795
2026-03-16,-0.038947,0.629833,-0.017864,-0.011891,0.329942,74.780484,,40.357911,1106.556462
2026-03-17,-0.038947,0.629833,-0.017864,-0.011891,0.32994,74.208719,,40.735162,1101.015327
2026-03-18,-0.038947,0.629833,-0.017864,-0.011976,0.329942,73.771663,,41.143852,1097.291791
2026-03-19,-0.03641,0.604139,-0.01923,-0.012559,0.345992,73.977355,,39.62484,1105.105231
2026-03-20,-0.037128,0.599472,-0.019889,-0.013048,0.357034,73.215211,,38.360735,1091.882594
2026-03-23,-0.039724,0.609277,-0.019889,-0.013048,0.357034,73.786008,,39.451519,1099.593367
2026-03-24,-0.039724,0.609277,-0.019937,-0.012977,0.352629,73.21014,,39.363568,1091.999853
2026-03-25,-0.039724,0.609277,-0.019889,-0.01314,0.357033,72.853394,,40.499558,1092.644864
2026-03-26,-0.039724,0.609277,-0.019889,-0.01314,0.357034,73.49051,,39.686325,1096.954694
2026-03-27,-0.041264,0.619487,-0.019889,-0.013048,0.357033,74.135678,,39.434264,1099.256183
2026-03-30,-0.041264,0.619487,-0.019889,-0.013048,0.357033,74.625443,,39.881069,1107.333411
2026-03-31,-0.041264,0.619487,-0.019857,-0.013108,0.357035,74.831043,,40.553377,1112.845363
2026-04-01,-0.041264,0.619487,-0.019857,-0.013201,0.357036,73.720317,,42.372822,1106.923005
2026-04-02,-0.041264,0.619487,-0.019857,-0.013201,0.357037,73.40394,,42.147623,1101.982844
2026-04-07,-0.041264,0.619487,-0.019857,-0.013108,0.357036,73.911319,,42.00141,1107.685275
2026-04-08,-0.034577,0.580807,-0.01956,-0.01281,0.357039,70.320599,,44.562819,1093.832219
2026-04-09,-0.027387,0.594887,-0.018648,-0.01219,0.343231,71.035901,,44.327719,1094.462551
2026-04-10,-0.027544,0.627118,-0.017254,-0.011442,0.328794,71.892321,,44.979023,1091.53073
