date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-22,-0.026049,0.465666,-0.019906,-0.01135,0.377287,4.900898,,141.579411,931.243871
2026-01-23,-0.026049,0.467073,-0.019906,-0.011398,0.377287,5.906581,,140.964705,937.756969
2026-01-26,-0.026049,0.467243,-0.019906,-0.01135,0.377287,5.154341,,143.896617,946.041637
2026-01-27,-0.026049,0.467318,-0.019906,-0.011398,0.377287,4.178867,,146.142298,947.479778
2026-01-28,-0.026049,0.468991,-0.019906,-0.011424,0.377287,6.4935,,143.708855,958.741061
2026-01-29,-0.026049,0.470609,-0.019981,-0.011473,0.377287,6.651948,,143.300188,955.560071
2026-01-30,-0.026049,0.470104,-0.019981,-0.011425,0.377287,5.184877,,146.015195,954.59963
2026-02-02,-0.026049,0.471333,-0.019981,-0.011425,0.377287,3.789805,,147.693816,945.301739
2026-02-03,-0.026049,0.471855,-0.019981,-0.011425,0.377287,3.45284,,147.870226,941.275478
2026-02-04,-0.026049,0.471665,-0.019981,-0.011425,0.377287,3.82424,,147.28196,942.665687
2026-02-05,-0.026049,0.471885,-0.019981,-0.011358,0.377287,10.145061,,134.143404,941.508764
2026-02-06,-0.026049,0.478681,-0.020155,-0.011532,0.377286,10.286795,,135.280314,939.612514
2026-02-09,-0.026049,0.476072,-0.019981,-0.011425,0.377286,8.575774,,138.79078,943.434876
2026-02-10,-0.026049,0.475873,-0.019981,-0.011425,0.377286,8.704865,,139.506243,949.679214
2026-02-11,-0.026049,0.475904,-0.019981,-0.011425,0.377286,10.002793,,136.63149,948.527522
2026-02-12,-0.026049,0.471506,-0.019981,-0.011358,0.377286,10.769652,,133.739442,947.446111
2026-02-13,-0.026049,0.472711,-0.019981,-0.011358,0.377285,13.138179,,129.062424,946.838786
2026-02-16,-0.026049,0.475471,-0.020155,-0.011532,0.377285,12.177806,,131.718496,946.760232
2026-02-17,-0.026049,0.474729,-0.020155,-0.011532,0.377285,11.972255,,131.72562,945.357755
2026-02-18,-0.026049,0.473728,-0.020155,-0.011451,0.377285,10.351298,,134.849006,945.514674
2026-02-19,-0.026049,0.478419,-0.020155,-0.011532,0.377285,11.486594,,132.857795,940.487648
2026-02-20,-0.026049,0.478711,-0.020155,-0.011451,0.377285,11.358543,,132.93704,938.915793
2026-02-23,-0.026049,0.476904,-0.020155,-0.011371,0.377285,10.535342,,135.058261,944.149477
2026-02-24,-0.026049,0.476173,-0.020155,-0.011371,0.377285,11.31379,,132.712918,940.886889
2026-02-25,-0.026049,0.474615,-0.020155,-0.011371,0.377285,9.875702,,135.04907,939.402243
2026-02-26,-0.026049,0.475133,-0.020155,-0.011371,0.377285,10.16846,,135.103736,942.587798
2026-02-27,-0.026049,0.475083,-0.020155,-0.011327,0.377285,11.286699,,132.614857,941.619844
2026-03-02,-0.026049,0.476239,-0.020155,-0.011282,0.377285,13.851629,,127.007432,938.14299
2026-03-03,-0.027719,0.478743,-0.020678,-0.011438,0.374311,17.005362,,120.213764,933.182821
2026-03-04,-0.033888,0.479142,-0.021085,-0.011669,0.37617,14.46274,,124.479494,926.399252
2026-03-05,-0.033888,0.482792,-0.021355,-0.012303,0.394956,15.808718,,122.842722,928.264022
2026-03-06,-0.032687,0.482318,-0.021354,-0.012302,0.394936,16.284144,,121.362662,926.065917
2026-03-09,-0.032687,0.483459,-0.021085,-0.01167,0.376178,16.892404,,119.211985,919.300322
2026-03-10,-0.030906,0.47845,-0.021121,-0.012019,0.39497,13.722853,,125.922957,926.799769
2026-03-11,-0.030906,0.477516,-0.021121,-0.012019,0.394969,14.368348,,124.276324,926.326253
2026-03-12,-0.030906,0.477158,-0.02107,-0.011893,0.391284,16.339933,,119.188998,920.894362
2026-03-13,-0.030906,0.480397,-0.021354,-0.012239,0.394974,17.211187,,117.82168,919.175474
2026-03-16,-0.026183,0.478753,-0.021121,-0.012006,0.394979,16.624783,,117.520865,912.269871
2026-03-17,-0.026183,0.478608,-0.021121,-0.012019,0.394983,16.608698,,118.37894,917.410271
