date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-16,-0.026287,0.810802,-0.026689,-0.015046,0.618815,18.213723,,84.236238,410.951
2026-01-20,-0.026287,0.80435,-0.027321,-0.015796,0.647325,17.794917,,83.784961,410.951
2026-01-21,-0.025669,0.800958,-0.027468,-0.015882,0.650838,17.650465,,83.146231,410.951
2026-01-22,-0.025669,0.796328,-0.027468,-0.015811,0.650837,17.241684,,83.437824,410.951
2026-01-23,-0.025669,0.795051,-0.027468,-0.015811,0.650836,17.41184,,82.015231,410.951
2026-01-26,-0.025669,0.795707,-0.027468,-0.015811,0.650835,17.276561,,82.99849,410.951
2026-01-27,-0.025669,0.796093,-0.027468,-0.015811,0.650836,17.325635,,82.893892,410.951
2026-01-28,-0.025669,0.797023,-0.027468,-0.015741,0.650831,17.392668,,82.914812,410.951
2026-01-29,-0.025669,0.802156,-0.027467,-0.015697,0.650844,17.455477,,84.720944,410.951
2026-01-30,-0.025669,0.800474,-0.027251,-0.015497,0.642552,17.525361,,83.626106,410.951
2026-02-02,-0.025669,0.800881,-0.02725,-0.015497,0.642518,17.340753,,84.804627,410.951
2026-02-03,-0.025669,0.8013,-0.027251,-0.015497,0.642548,17.665411,,83.207697,410.951
2026-02-04,-0.025669,0.802381,-0.02725,-0.015497,0.642517,17.494557,,84.602396,410.951
2026-02-05,-0.025669,0.798982,-0.027094,-0.015286,0.632006,17.334439,,84.037544,410.951
2026-02-06,-0.025669,0.800092,-0.027094,-0.015286,0.632004,16.931675,,86.694443,410.951
2026-02-09,-0.025669,0.80367,-0.027094,-0.015286,0.632013,16.802655,,88.988722,410.951
2026-02-10,-0.025669,0.803544,-0.027094,-0.015286,0.632021,16.938505,,88.179795,410.951
2026-02-11,-0.025669,0.804388,-0.027094,-0.015286,0.632019,17.603108,,84.867386,410.951
2026-02-12,-0.025669,0.803156,-0.027187,-0.015378,0.632008,18.364406,,80.13239,410.951
2026-02-13,-0.025669,0.808762,-0.027167,-0.015226,0.622388,18.430491,,82.105884,410.951
2026-02-17,-0.025669,0.807296,-0.027065,-0.015103,0.615645,18.188676,,82.845078,410.951
2026-02-18,-0.025669,0.806094,-0.027065,-0.015103,0.615644,18.011212,,83.326245,410.951
2026-02-19,-0.025669,0.806485,-0.027065,-0.015103,0.615643,18.206301,,82.398775,410.951
2026-02-20,-0.025669,0.806665,-0.027065,-0.015061,0.61564,18.216266,,82.419695,410.951
2026-02-23,-0.025669,0.806477,-0.027065,-0.015061,0.615641,18.530973,,80.571718,410.951
2026-02-24,-0.025669,0.807896,-0.027274,-0.01527,0.61564,18.511732,,81.276043,410.951
2026-02-25,-0.026779,0.812335,-0.027233,-0.015391,0.618822,18.39095,,83.898071,410.951
2026-02-26,-0.026779,0.814831,-0.027233,-0.015391,0.618821,18.42912,,84.804627,410.951
