date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-22,-0.025043,0.435088,-0.025587,-0.013838,0.473558,188.617691,,115.174781,3105.953211
2026-01-23,-0.025043,0.437735,-0.025587,-0.013859,0.47356,190.361916,,115.704637,3127.676176
2026-01-26,-0.025043,0.437596,-0.025587,-0.013838,0.473559,191.754737,,117.256572,3155.307812
2026-01-27,-0.025043,0.437616,-0.025587,-0.013838,0.473559,190.943533,,119.570242,3160.104405
2026-01-28,-0.025043,0.439931,-0.025587,-0.01387,0.473561,193.304649,,121.3135,3197.663867
2026-01-29,-0.025043,0.438193,-0.025587,-0.01387,0.47356,192.711953,,120.442818,3187.054394
2026-01-30,-0.025043,0.437984,-0.025587,-0.013838,0.47356,191.693601,,121.871879,3183.851062
2026-02-02,-0.025043,0.439098,-0.025587,-0.013838,0.47356,189.144499,,122.246328,3152.840051
2026-02-03,-0.025043,0.439104,-0.025587,-0.013838,0.473561,188.652273,,121.119529,3139.411366
2026-02-04,-0.025043,0.439697,-0.025587,-0.013838,0.47356,189.670538,,119.992006,3144.048094
2026-02-05,-0.025043,0.439784,-0.025587,-0.013797,0.473558,188.734122,,121.228634,3140.189441
2026-02-06,-0.025043,0.438205,-0.025592,-0.013812,0.472697,187.36237,,122.56287,3133.864929
2026-02-09,-0.025043,0.436775,-0.025592,-0.013845,0.472699,187.134694,,124.659486,3146.613551
2026-02-10,-0.025043,0.434113,-0.025592,-0.013845,0.472697,189.007259,,123.676552,3167.440129
2026-02-11,-0.025043,0.434569,-0.025592,-0.013845,0.472697,189.057783,,123.088386,3163.598921
2026-02-12,-0.025043,0.433216,-0.025592,-0.013812,0.472695,189.456828,,121.47586,3159.992119
2026-02-13,-0.025043,0.435184,-0.025587,-0.013798,0.473563,191.063499,,118.495263,3157.966524
2026-02-16,-0.025043,0.436685,-0.025587,-0.013798,0.473561,190.222293,,120.393915,3157.704523
2026-02-17,-0.025043,0.436347,-0.025587,-0.013798,0.473562,188.853135,,122.240346,3153.026877
2026-02-18,-0.025043,0.436715,-0.025587,-0.013798,0.473562,187.636342,,124.748995,3153.550246
