date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-27,-0.01749,0.272318,-0.035398,-0.019838,1.103664,299.28688,,142.565098,4934.118843
2026-01-28,-0.01749,0.272445,-0.035437,-0.019868,1.104916,295.863577,,147.678682,4933.90563
2026-01-29,-0.01749,0.27588,-0.035439,-0.019869,1.10497,294.412541,,150.557354,4933.90563
2026-01-30,-0.01749,0.27616,-0.035439,-0.019869,1.104977,296.669352,,147.781302,4938.521658
2026-02-02,-0.019326,0.276989,-0.036206,-0.020636,1.104972,297.611501,,146.277909,4936.390043
2026-02-03,-0.019476,0.277129,-0.034548,-0.020026,1.07267,298.314378,,145.651199,4939.730375
2026-02-04,-0.019476,0.277272,-0.034548,-0.020018,1.072668,297.729231,,147.296765,4945.853719
2026-02-05,-0.019476,0.277036,-0.034548,-0.020018,1.072669,297.080369,,148.224295,4945.853719
2026-02-06,-0.019476,0.277054,-0.034548,-0.020026,1.07267,297.479552,,147.6192,4945.782648
2026-02-09,-0.019476,0.276759,-0.034548,-0.020026,1.07267,296.554936,,148.862874,4945.069894
2026-02-10,-0.019476,0.276169,-0.034548,-0.020025,1.072668,296.984854,,149.537859,4957.071669
2026-02-11,-0.019476,0.276241,-0.034548,-0.020033,1.072669,297.608603,,149.598327,4965.248911
2026-02-12,-0.019476,0.27636,-0.034548,-0.020025,1.072669,297.538714,,149.563882,4963.884248
2026-02-13,-0.019476,0.277012,-0.034548,-0.020025,1.072669,299.811126,,147.355213,4972.80441
2026-02-16,-0.019476,0.277429,-0.034548,-0.020018,1.072666,298.999043,,147.977632,4967.117717
2026-02-20,-0.019476,0.278099,-0.034548,-0.020018,1.072667,299.097074,,147.958701,4967.045624
2026-02-23,-0.019476,0.276823,-0.034548,-0.018873,1.072664,297.050382,,150.782561,4967.117717
2026-02-24,-0.019476,0.277309,-0.034548,-0.020018,1.072666,298.523346,,148.668415,4967.117717
2026-02-25,-0.019476,0.280821,-0.034548,-0.018873,1.072664,300.605512,,148.420096,4985.086379
2026-02-26,-0.019476,0.280625,-0.034548,-0.017731,1.072662,302.051935,,147.413652,4995.173842
2026-02-27,-0.019476,0.280687,-0.034548,-0.017731,1.072661,303.877505,,147.165847,5015.838595
2026-03-02,-0.019476,0.280201,-0.034548,-0.017731,1.072661,305.135609,,143.664524,5003.40477
2026-03-03,-0.021159,0.286477,-0.035913,-0.019095,1.072659,303.957645,,144.587287,4985.883497
