date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-27,-0.010553,0.232492,-0.036308,-0.017284,1.05903,126.366344,,51.253159,2031.956962
2026-01-28,-0.010553,0.23316,-0.036309,-0.017284,1.059036,125.559951,,52.430814,2031.869157
2026-01-29,-0.010553,0.234154,-0.036309,-0.017284,1.059038,125.055745,,53.214517,2031.869157
2026-01-30,-0.010553,0.234439,-0.036309,-0.017284,1.059041,126.129049,,51.926347,2033.770119
2026-02-02,-0.01366,0.236338,-0.03691,-0.017886,1.059037,126.455767,,51.490476,2032.892282
2026-02-03,-0.014236,0.236452,-0.036603,-0.017759,1.051559,126.569588,,51.492784,2034.26789
2026-02-04,-0.014236,0.236795,-0.036603,-0.017759,1.051553,126.17486,,52.365448,2036.789591
2026-02-05,-0.014236,0.235991,-0.039675,-0.020377,1.206573,125.59818,,53.130781,2036.789591
2026-02-06,-0.014236,0.236018,-0.040698,-0.020897,1.237342,125.318135,,53.527746,2036.760322
2026-02-09,-0.014236,0.234727,-0.0407,-0.020898,1.237401,124.910308,,53.983358,2036.466798
2026-02-10,-0.014236,0.235289,-0.0407,-0.020898,1.237399,125.050915,,54.385162,2041.40934
2026-02-11,-0.014236,0.235742,-0.040701,-0.020898,1.237404,125.381931,,54.329759,2044.776872
2026-02-12,-0.014236,0.235807,-0.0407,-0.020898,1.237399,125.621031,,53.930373,2044.21488
2026-02-13,-0.014236,0.236737,-0.0407,-0.020898,1.237397,126.284658,,53.469545,2047.888359
2026-02-16,-0.014236,0.237441,-0.0407,-0.020898,1.237388,126.189098,,53.388067,2045.546479
2026-02-20,-0.014236,0.238213,-0.0407,-0.020898,1.237383,126.012566,,53.690693,2045.51679
2026-02-23,-0.014236,0.236249,-0.0407,-0.020897,1.237372,125.163899,,54.763766,2045.546479
2026-02-24,-0.014236,0.237332,-0.0407,-0.020898,1.237387,125.734869,,54.02779,2045.546479
2026-02-25,-0.014236,0.241434,-0.0407,-0.020897,1.237373,126.675411,,53.820481,2052.94629
2026-02-26,-0.014236,0.241152,-0.040699,-0.020897,1.237365,127.115926,,53.645572,2057.100485
2026-02-27,-0.014236,0.240314,-0.040699,-0.020897,1.237354,128.116598,,53.128689,2065.610594
2026-03-02,-0.014237,0.239279,-0.040699,-0.020897,1.237355,128.418378,,52.039904,2060.490126
2026-03-03,-0.015717,0.241403,-0.041591,-0.021789,1.237341,127.517736,,52.648998,2053.274558
2026-03-04,-0.015717,0.240794,-0.038013,-0.018921,1.074445,128.061091,,51.225524,2048.007117
2026-03-05,-0.018097,0.250024,-0.038237,-0.019153,1.069488,127.916329,,52.158756,2048.80894
2026-03-06,-0.018097,0.250024,-0.039897,-0.020431,1.160238,127.746858,,52.404389,2048.80894
2026-03-09,-0.018097,0.250024,-0.038013,-0.018921,1.074446,128.038346,,51.999126,2048.957387
2026-03-10,-0.018097,0.250024,-0.038011,-0.018919,1.074366,127.462231,,52.335683,2044.658536
2026-03-11,-0.0172,0.246634,-0.033956,-0.016585,0.941822,127.943348,,52.590055,2054.916737
2026-03-12,-0.0172,0.246634,-0.033956,-0.016585,0.941821,127.984519,,52.910681,2058.209099
2026-03-13,-0.0172,0.246634,-0.033957,-0.016585,0.941826,128.108934,,52.613582,2057.190395
2026-03-16,-0.0172,0.246634,-0.033956,-0.016585,0.941809,127.24602,,52.922039,2049.076355
2026-03-17,-0.0172,0.246634,-0.033956,-0.016585,0.941811,125.725704,,53.095727,2031.577107
2026-03-18,-0.0172,0.246634,-0.033956,-0.016585,0.941816,127.273852,,53.21847,2051.99244
2026-03-19,-0.0172,0.246634,-0.033956,-0.016585,0.941817,127.387909,,53.526049,2056.082835
2026-03-20,-0.017185,0.245685,-0.031394,-0.013615,0.773141,126.596951,,53.66407,2047.977428
2026-03-23,-0.017185,0.245685,-0.031395,-0.013616,0.773196,128.223865,,51.803151,2052.170998
2026-03-24,-0.018508,0.252898,-0.03111,-0.013479,0.752678,127.845413,,53.0518,2053.871293
2026-03-25,-0.018508,0.252898,-0.03111,-0.01348,0.752686,126.90516,,54.010482,2050.354893
2026-03-26,-0.018508,0.252898,-0.031622,-0.013844,0.77303,126.944555,,53.635006,2047.621366
2026-03-27,-0.018508,0.252898,-0.03111,-0.013479,0.75267,126.572116,,53.84236,2044.747393
2026-03-30,-0.018508,0.252898,-0.03111,-0.013479,0.752674,126.674641,,55.977224,2064.370926
2026-03-31,-0.019354,0.264529,-0.031112,-0.013993,0.752758,127.148436,,56.16222,2064.370926
2026-04-01,-0.019797,0.271351,-0.031108,-0.014509,0.752619,127.47682,,56.819997,2069.58118
2026-04-02,-0.019797,0.271351,-0.031108,-0.014509,0.752617,127.626359,,57.448895,2076.720244
2026-04-08,-0.018711,0.261208,-0.031109,-0.014522,0.752645,127.712504,,57.025343,2080.89997
2026-04-09,-0.018711,0.261208,-0.031109,-0.014522,0.752641,128.619155,,56.695679,2089.432276
2026-04-10,-0.018711,0.261208,-0.031109,-0.014522,0.75264,128.602625,,56.622803,2088.606494
