date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-23,-0.014523,0.605322,-0.026531,-0.012137,0.643128,0.0,,15904.131286,40847.989
2026-01-26,-0.014523,0.60508,-0.026531,-0.012125,0.643127,0.0,,16004.47832,40847.989
2026-01-27,-0.014523,0.60379,-0.026531,-0.012125,0.643127,0.0,,16239.389741,40847.989
2026-01-28,-0.014523,0.606713,-0.026531,-0.012137,0.643128,0.0,,16789.141262,40847.989
2026-01-29,-0.014523,0.612371,-0.026531,-0.012137,0.643129,0.0,,17064.642082,40847.989
2026-01-30,-0.014523,0.611905,-0.026531,-0.012137,0.64313,0.0,,16549.737475,40847.989
2026-02-02,-0.018682,0.616301,-0.027409,-0.013016,0.643129,0.0,,16391.193225,40847.989
2026-02-03,-0.018664,0.621166,-0.028424,-0.013346,0.660045,0.0,,16350.058298,40847.989
2026-02-04,-0.018664,0.619417,-0.028424,-0.012944,0.660044,0.0,,16503.592935,40847.989
2026-02-05,-0.018664,0.618573,-0.028424,-0.012944,0.660044,0.0,,16584.820501,40847.989
2026-02-06,-0.018664,0.619282,-0.028424,-0.013346,0.660044,0.0,,16692.726838,40847.989
2026-02-09,-0.018664,0.616131,-0.028425,-0.013358,0.660057,0.0,,16920.451591,40847.989
2026-02-10,-0.018664,0.616741,-0.028425,-0.013358,0.660056,0.0,,17008.93942,40847.989
2026-02-11,-0.018664,0.615452,-0.028425,-0.013363,0.660064,0.0,,17078.683073,40847.989
2026-02-12,-0.018664,0.616591,-0.028425,-0.013363,0.660064,0.0,,16928.097013,40847.989
2026-02-13,-0.018664,0.620178,-0.028425,-0.013363,0.660063,0.0,,16677.75713,40847.989
2026-02-16,-0.018664,0.621353,-0.028425,-0.013358,0.660052,0.0,,16781.228347,40847.989
2026-02-20,-0.018664,0.623252,-0.028425,-0.013358,0.660053,0.0,,16841.92388,40847.989
2026-02-23,-0.018664,0.616031,-0.028425,-0.013358,0.660051,0.0,,17194.887335,40847.989
2026-02-24,-0.018664,0.618835,-0.028425,-0.013363,0.660055,0.0,,16892.462437,40847.989
2026-02-25,-0.018664,0.624915,-0.02853,-0.013463,0.660051,0.0,,17047.058611,40847.989
