date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-20,-0.036107,0.917649,-0.020198,-0.009558,0.272392,99.52993,,72.060602,1312.368
2026-01-21,-0.036107,0.916684,-0.01997,-0.008988,0.25861,99.474486,,71.948924,1312.368
2026-01-22,-0.036107,0.919222,-0.019969,-0.008962,0.258601,99.453749,,74.489122,1312.368
2026-01-23,-0.036107,0.920614,-0.01997,-0.008963,0.258626,99.595514,,73.853497,1312.368
2026-01-26,-0.036107,0.920538,-0.019969,-0.008713,0.258595,99.497982,,75.117687,1312.368
2026-01-27,-0.036107,0.920559,-0.019969,-0.008962,0.2586,99.428859,,76.082789,1312.368
2026-01-28,-0.036107,0.921515,-0.01997,-0.009074,0.258612,99.540749,,75.460195,1312.368
2026-01-29,-0.036107,0.92212,-0.019969,-0.008962,0.258589,99.667931,,74.271564,1312.368
2026-01-30,-0.036107,0.922403,-0.019969,-0.008962,0.258585,99.554647,,76.128702,1312.368
2026-02-02,-0.036107,0.923154,-0.019969,-0.009074,0.258598,99.638118,,75.69283,1312.368
2026-02-03,-0.036107,0.922358,-0.019969,-0.009074,0.258591,99.550105,,76.148142,1312.368
2026-02-04,-0.036107,0.921869,-0.019969,-0.009074,0.25859,99.803159,,72.151838,1312.368
2026-02-05,-0.036107,0.926585,-0.020166,-0.00927,0.258583,100.314024,,69.222247,1312.368
2026-02-06,-0.036107,0.927703,-0.020343,-0.009336,0.258576,100.312181,,70.320468,1312.368
2026-02-09,-0.036107,0.926315,-0.020343,-0.009448,0.258585,100.124126,,71.770127,1312.368
2026-02-10,-0.036107,0.927904,-0.020343,-0.00946,0.258593,100.232268,,71.722052,1312.368
2026-02-11,-0.036107,0.928134,-0.020343,-0.00946,0.258594,100.289985,,71.078532,1312.368
2026-02-12,-0.036107,0.927137,-0.020343,-0.009447,0.258581,100.300907,,69.942404,1312.368
2026-02-13,-0.036107,0.927473,-0.020343,-0.009447,0.258579,100.510907,,67.119806,1312.368
2026-02-16,-0.036107,0.928262,-0.020675,-0.009779,0.258573,100.533758,,67.511026,1312.368
2026-02-17,-0.036107,0.928126,-0.020675,-0.009779,0.258573,100.451091,,68.633589,1312.368
2026-02-18,-0.036107,0.928357,-0.020675,-0.009779,0.258572,100.362677,,70.196087,1312.368
2026-02-19,-0.036107,0.932403,-0.020675,-0.009792,0.258576,100.729869,,68.493988,1312.368
2026-02-20,-0.036107,0.932956,-0.020675,-0.009779,0.258572,100.682992,,69.818607,1312.368
2026-02-23,-0.036107,0.93293,-0.020675,-0.009779,0.258572,100.709658,,69.359868,1312.368
2026-02-24,-0.036107,0.933004,-0.020675,-0.009667,0.258571,100.803421,,67.91467,1312.368
2026-02-25,-0.036107,0.932043,-0.020675,-0.009667,0.258571,100.685377,,68.842394,1312.368
