date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-14,-0.029135,0.862978,-0.01379,-0.007755,0.290723,223.293352,,155.080162,3035.535
2026-01-15,-0.029135,0.864436,-0.013789,-0.007745,0.290717,223.145224,,157.936129,3035.535
2026-01-16,-0.029135,0.864498,-0.01379,-0.007745,0.29072,223.140696,,158.044333,3035.535
2026-01-19,-0.029135,0.867548,-0.013252,-0.007524,0.283842,223.511094,,158.644466,3035.535
2026-01-20,-0.029135,0.866379,-0.013789,-0.007706,0.290711,223.514866,,157.224889,3035.535
2026-01-21,-0.029135,0.86694,-0.013788,-0.007706,0.290693,223.59716,,157.216613,3035.535
2026-01-22,-0.029135,0.866876,-0.013789,-0.007706,0.290705,223.350181,,159.156599,3035.535
2026-01-23,-0.029135,0.866686,-0.013789,-0.007706,0.29071,223.646661,,156.512943,3035.535
2026-01-26,-0.029135,0.865574,-0.013789,-0.007707,0.290714,223.540969,,156.07326,3035.535
2026-01-27,-0.029135,0.865612,-0.013789,-0.007707,0.290717,223.024405,,160.295355,3035.535
2026-01-28,-0.029135,0.867569,-0.013791,-0.007746,0.290733,223.801912,,156.282247,3035.535
2026-01-29,-0.029135,0.868473,-0.013789,-0.007707,0.290716,223.761873,,157.686903,3035.535
2026-01-30,-0.029135,0.870214,-0.01379,-0.007707,0.29072,223.760087,,159.817467,3035.535
2026-02-02,-0.029135,0.870608,-0.01379,-0.007707,0.290724,223.348233,,163.764246,3035.535
2026-02-03,-0.027485,0.866895,-0.013409,-0.007364,0.290734,222.841546,,163.333756,3035.535
2026-02-04,-0.027485,0.867733,-0.013409,-0.007325,0.290733,222.902087,,163.87054,3035.535
2026-02-05,-0.027485,0.868393,-0.013409,-0.007364,0.290734,223.381718,,160.73155,3035.535
2026-02-06,-0.028696,0.868409,-0.013561,-0.007478,0.290716,222.772418,,165.783392,3035.535
2026-02-09,-0.028696,0.870749,-0.013562,-0.007479,0.290728,223.061963,,166.349479,3035.535
2026-02-10,-0.028696,0.870032,-0.013027,-0.007301,0.283819,223.252635,,163.83817,3035.535
2026-02-11,-0.028696,0.870642,-0.013026,-0.007264,0.2838,223.283568,,164.350012,3035.535
2026-02-12,-0.028696,0.866655,-0.013557,-0.00738,0.290667,223.264873,,159.588792,3035.535
2026-02-13,-0.028696,0.869265,-0.013383,-0.007563,0.283789,224.067227,,156.103588,3035.535
2026-02-16,-0.028696,0.864916,-0.013383,-0.007562,0.283785,223.284755,,157.37372,3035.535
2026-02-17,-0.028696,0.864608,-0.013383,-0.007562,0.283784,222.913217,,159.998987,3035.535
2026-02-18,-0.028696,0.866688,-0.013382,-0.007562,0.283783,222.699621,,164.2375,3035.535
2026-02-19,-0.028696,0.869154,-0.013382,-0.00762,0.283777,223.219678,,163.01237,3035.535
2026-02-20,-0.028696,0.868597,-0.013383,-0.007621,0.283791,222.955881,,164.503751,3035.535
2026-02-23,-0.028696,0.868868,-0.013383,-0.007621,0.283791,223.059761,,163.982009,3035.535
2026-02-24,-0.028696,0.868826,-0.013384,-0.007621,0.2838,223.021592,,164.245576,3035.535
2026-02-25,-0.028696,0.869836,-0.013383,-0.007562,0.283787,221.612546,,177.287489,3035.535
