date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-23,-0.011939,0.526533,-0.028995,-0.013586,0.771859,0.0,,21425.390736,48179.055
2026-01-26,-0.011939,0.525974,-0.028995,-0.012978,0.771855,0.0,,21733.300053,48179.055
2026-01-27,-0.011939,0.523376,-0.028995,-0.012978,0.771855,0.0,,22158.183399,48179.055
2026-01-28,-0.011939,0.52794,-0.028931,-0.013522,0.771866,0.0,,22968.187125,48179.055
2026-01-29,-0.011939,0.534652,-0.028931,-0.013522,0.771872,0.0,,23147.465443,48179.055
2026-01-30,-0.011939,0.534689,-0.028931,-0.013522,0.771873,0.0,,22635.373033,48179.055
2026-02-02,-0.015044,0.538931,-0.029031,-0.013622,0.771869,0.0,,22368.41296,48179.055
2026-02-03,-0.015309,0.546416,-0.029308,-0.013536,0.802857,0.0,,22264.723292,48179.055
2026-02-04,-0.015309,0.541462,-0.029308,-0.012918,0.802854,0.0,,22448.719911,48179.055
2026-02-05,-0.015309,0.54055,-0.029308,-0.012918,0.802853,0.0,,22549.995054,48179.055
2026-02-06,-0.015309,0.54106,-0.029308,-0.013536,0.802855,0.0,,22659.065709,48179.055
2026-02-09,-0.015309,0.538251,-0.029308,-0.014169,0.802855,0.0,,22760.223807,48179.055
2026-02-10,-0.015309,0.533014,-0.029308,-0.014169,0.802854,0.0,,22941.136704,48179.055
2026-02-11,-0.015309,0.532903,-0.029308,-0.014194,0.802855,0.0,,22915.480459,48179.055
2026-02-12,-0.015309,0.532944,-0.029308,-0.014169,0.802854,0.0,,22700.659783,48179.055
2026-02-13,-0.015309,0.535693,-0.029308,-0.014169,0.802854,0.0,,22387.775085,48179.055
2026-02-16,-0.015309,0.5377,-0.029308,-0.013536,0.802852,0.0,,22560.674505,48179.055
2026-02-20,-0.015309,0.540568,-0.029308,-0.013536,0.802852,0.0,,22383.191655,48179.055
2026-02-23,-0.015309,0.535238,-0.029308,-0.012918,0.802849,0.0,,22902.787929,48179.055
2026-02-24,-0.015309,0.540916,-0.029308,-0.012918,0.802851,0.0,,22534.396934,48179.055
2026-02-25,-0.015309,0.546564,-0.029666,-0.013277,0.802848,0.0,,22579.783001,48179.055
2026-02-26,-0.015309,0.546671,-0.029666,-0.013277,0.802847,0.0,,22431.594753,48179.055
