date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-22,-0.026907,0.429376,-0.020005,-0.009757,0.476967,50.214986,,82.844348,1171.326515
2026-01-23,-0.026907,0.430761,-0.020005,-0.009798,0.476967,51.34958,,82.130892,1179.518745
2026-01-26,-0.026907,0.430949,-0.020005,-0.009757,0.476967,51.323425,,83.800378,1189.939272
2026-01-27,-0.026907,0.431033,-0.020005,-0.009798,0.476967,50.61616,,85.440286,1191.748178
2026-01-28,-0.026907,0.433612,-0.020005,-0.009834,0.476968,51.441021,,86.421003,1205.912716
2026-01-29,-0.026907,0.432208,-0.020005,-0.009798,0.476967,51.548459,,85.388891,1201.91164
2026-01-30,-0.026907,0.4324,-0.020005,-0.009798,0.476967,51.168047,,85.961111,1200.703589
2026-02-02,-0.026907,0.432201,-0.020005,-0.009834,0.476968,49.704626,,86.941557,1189.008622
2026-02-03,-0.026907,0.433086,-0.020005,-0.009871,0.476968,48.174087,,89.234979,1183.944356
2026-02-04,-0.026907,0.432236,-0.020748,-0.009429,0.455623,48.345065,,89.041868,1185.692973
2026-02-05,-0.026907,0.433449,-0.020748,-0.009429,0.455623,50.094224,,85.653341,1184.237786
2026-02-06,-0.026907,0.436115,-0.020927,-0.009608,0.455622,49.725449,,86.401257,1181.852667
2026-02-09,-0.026907,0.435078,-0.020927,-0.009722,0.455623,49.097851,,88.190346,1186.660466
2026-02-10,-0.026907,0.435096,-0.020927,-0.009722,0.455623,49.298921,,89.01524,1194.514648
2026-02-11,-0.026907,0.435068,-0.020927,-0.009804,0.455623,50.086439,,87.272653,1193.06604
2026-02-12,-0.026907,0.439298,-0.020947,-0.009824,0.455623,51.875727,,84.25134,1191.705832
2026-02-13,-0.026907,0.441339,-0.02186,-0.010638,0.455621,53.218879,,81.827028,1190.941934
2026-02-16,-0.026907,0.443646,-0.022948,-0.011726,0.45562,52.720018,,83.125519,1190.843127
2026-02-17,-0.026907,0.443185,-0.022948,-0.011726,0.45562,52.123559,,83.945589,1189.079079
2026-02-18,-0.026907,0.443205,-0.022948,-0.011726,0.45562,51.571393,,85.057257,1189.276453
2026-02-19,-0.026907,0.446285,-0.022948,-0.011825,0.455621,51.875907,,83.939658,1182.953417
2026-02-20,-0.026907,0.446608,-0.022948,-0.011726,0.45562,50.929658,,85.536673,1180.976325
2026-02-23,-0.026907,0.44761,-0.022948,-0.011825,0.455621,51.423394,,85.756557,1187.559297
2026-02-24,-0.026907,0.447312,-0.022948,-0.011726,0.45562,51.864431,,84.197178,1183.455586
2026-02-25,-0.026907,0.446802,-0.022948,-0.011726,0.45562,51.205418,,85.120875,1181.588185
2026-02-26,-0.026907,0.446831,-0.022948,-0.011825,0.455621,51.390074,,85.392421,1185.595004
2026-02-27,-0.026907,0.446749,-0.022948,-0.011726,0.45562,51.922065,,84.143192,1184.377503
2026-03-02,-0.026907,0.447193,-0.022948,-0.011726,0.45562,53.036895,,81.330804,1180.004286
2026-03-03,-0.027847,0.447997,-0.023914,-0.012596,0.455618,54.570141,,77.447396,1173.765344
2026-03-04,-0.03226,0.453708,-0.0249,-0.013546,0.455633,53.876344,,78.279344,1165.232912
2026-03-05,-0.03226,0.453708,-0.025807,-0.01498,0.503869,54.42459,,77.56184,1167.578436
2026-03-06,-0.031716,0.449383,-0.025807,-0.014942,0.503869,54.600142,,76.169402,1164.813641
2026-03-09,-0.031716,0.448014,-0.025807,-0.014899,0.503868,54.334494,,75.162949,1156.303817
2026-03-10,-0.031004,0.452907,-0.02332,-0.013071,0.476958,53.672663,,78.649027,1165.733764
2026-03-11,-0.031004,0.452908,-0.02332,-0.013071,0.476958,53.619893,,78.659222,1165.138172
2026-03-12,-0.031004,0.452907,-0.023051,-0.013302,0.486614,54.19617,,76.428331,1158.30591
2026-03-13,-0.031004,0.452907,-0.02305,-0.013295,0.486618,54.757592,,74.96926,1156.143884
2026-03-16,-0.02854,0.448302,-0.02305,-0.013295,0.486619,53.955419,,74.554874,1147.457979
2026-03-17,-0.02854,0.447861,-0.02305,-0.013295,0.48662,54.22093,,74.990862,1153.923602
2026-03-18,-0.02854,0.44784,-0.02305,-0.013295,0.486619,53.991196,,76.071422,1157.931617
2026-03-19,-0.02854,0.447004,-0.023051,-0.013295,0.486613,54.609731,,73.557134,1150.404717
