date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-16,-0.029692,0.835675,-0.027513,-0.015565,0.626258,197.592211,,842.74171,4062.462
2026-01-20,-0.029692,0.834462,-0.027513,-0.015565,0.626257,200.648369,,816.499555,4062.462
2026-01-21,-0.03077,0.838445,-0.027717,-0.015704,0.626252,203.92083,,814.611682,4062.462
2026-01-22,-0.03077,0.835278,-0.027683,-0.015614,0.625627,200.897625,,818.899953,4062.462
2026-01-23,-0.03077,0.83465,-0.027717,-0.01563,0.626248,202.849121,,802.960482,4062.462
2026-01-26,-0.03077,0.834316,-0.027717,-0.015629,0.626245,201.237565,,811.914649,4062.462
2026-01-27,-0.03077,0.834276,-0.027717,-0.015629,0.626245,201.507876,,809.945786,4062.462
2026-01-28,-0.03077,0.833831,-0.027717,-0.015629,0.626245,200.986598,,811.186398,4062.462
2026-01-29,-0.03077,0.837731,-0.027399,-0.015743,0.630812,201.621953,,826.424697,4062.462
2026-01-30,-0.03077,0.836766,-0.027676,-0.015616,0.625698,201.103015,,824.995273,4062.462
2026-02-02,-0.03077,0.836772,-0.027676,-0.015616,0.625698,200.196567,,831.063596,4062.462
2026-02-03,-0.03077,0.836832,-0.027676,-0.015616,0.625698,197.525709,,849.16066,4062.462
2026-02-04,-0.03077,0.831591,-0.027682,-0.015672,0.625603,192.419751,,855.687432,4062.462
2026-02-05,-0.03077,0.830919,-0.027682,-0.015709,0.625603,194.873427,,836.511571,4062.462
2026-02-06,-0.03077,0.832918,-0.027682,-0.015672,0.625603,191.338195,,869.523221,4062.462
2026-02-09,-0.03077,0.83708,-0.027682,-0.015672,0.625603,194.788401,,868.714144,4062.462
2026-02-10,-0.03077,0.836821,-0.027682,-0.015613,0.625603,196.127908,,858.411461,4062.462
2026-02-11,-0.03077,0.837669,-0.027682,-0.015613,0.625603,199.802936,,838.291623,4062.462
2026-02-12,-0.03077,0.839659,-0.027766,-0.015698,0.625603,204.592115,,816.229917,4062.462
2026-02-13,-0.03077,0.842404,-0.028614,-0.016452,0.625602,206.688086,,815.987112,4062.462
2026-02-17,-0.03077,0.842599,-0.028614,-0.016346,0.625602,205.04606,,828.339567,4062.462
2026-02-18,-0.03077,0.843109,-0.028614,-0.016346,0.625603,204.792697,,832.789653,4062.462
2026-02-19,-0.03077,0.843139,-0.028614,-0.016452,0.625603,205.099081,,830.82079,4062.462
2026-02-20,-0.03077,0.843099,-0.028614,-0.016346,0.625602,204.00226,,838.210715,4062.462
2026-02-23,-0.03077,0.843455,-0.028614,-0.016452,0.625603,209.373148,,802.825663,4062.462
2026-02-24,-0.03077,0.846801,-0.028614,-0.016452,0.625603,211.984968,,801.827692,4062.462
2026-02-25,-0.031383,0.847237,-0.028614,-0.016452,0.625603,210.031981,,818.009886,4062.462
2026-02-26,-0.031383,0.847702,-0.028614,-0.016546,0.625603,209.312728,,825.642534,4062.462
