date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-27,-0.046928,0.850229,-0.036665,-0.021195,0.546094,0.0,,2499989.816441,286311.42
2026-01-28,-0.046928,0.85192,-0.036921,-0.021889,0.563992,0.0,,2481119.211315,286311.42
2026-01-29,-0.046928,0.852019,-0.036921,-0.022056,0.563992,0.0,,2514189.883151,286311.42
2026-01-30,-0.046928,0.851667,-0.036921,-0.022116,0.563993,0.0,,2556736.542036,286311.42
2026-02-02,-0.046928,0.850698,-0.036921,-0.022116,0.563993,0.0,,2505614.575593,286311.42
2026-02-03,-0.046928,0.852558,-0.036921,-0.022116,0.563992,0.0,,2662906.450022,286311.42
2026-02-04,-0.046928,0.859793,-0.036921,-0.02214,0.563994,0.0,,2780581.157996,286311.42
2026-02-05,-0.046928,0.855114,-0.035556,-0.020608,0.524049,0.0,,2746084.022493,286311.42
2026-02-06,-0.046928,0.85589,-0.035556,-0.020571,0.524045,0.0,,2834816.136587,286311.42
2026-02-09,-0.046928,0.858527,-0.035706,-0.021309,0.542831,0.0,,2925173.045668,286311.42
2026-02-10,-0.046928,0.861597,-0.036572,-0.02216,0.564504,0.0,,3004005.510967,286311.42
2026-02-12,-0.046928,0.862428,-0.036573,-0.02216,0.564506,0.0,,2967403.411253,286311.42
2026-02-13,-0.046928,0.862336,-0.036572,-0.02216,0.564506,0.0,,2888776.386508,286311.42
2026-02-16,-0.046928,0.863298,-0.036572,-0.022159,0.564502,0.0,,2735330.48724,286311.42
2026-02-17,-0.04571,0.864795,-0.036074,-0.022171,0.54564,0.0,,2646231.343324,286311.42
2026-02-18,-0.04571,0.865537,-0.036767,-0.022863,0.545639,0.0,,2650744.776144,286311.42
2026-02-19,-0.04571,0.865203,-0.036767,-0.022882,0.545639,0.0,,2781780.609921,286311.42
2026-02-20,-0.04571,0.86528,-0.036767,-0.022902,0.54564,0.0,,2739774.455074,286311.42
2026-02-24,-0.04571,0.865414,-0.036767,-0.022902,0.54564,0.0,,2637267.260438,286311.42
2026-02-25,-0.04571,0.861788,-0.036767,-0.022902,0.545639,0.0,,2548401.128288,286311.42
