date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-21,-0.042359,0.502324,-0.024427,-0.015243,0.527741,0.0,,289.490689,1253.755
2026-01-22,-0.042359,0.501472,-0.024427,-0.015243,0.527737,0.0,,289.06431,1253.755
2026-01-23,-0.042359,0.502137,-0.024427,-0.015243,0.527738,0.0,,282.668724,1253.755
2026-01-26,-0.042359,0.502939,-0.024426,-0.015243,0.527732,0.0,,287.216693,1253.755
2026-01-27,-0.042359,0.503035,-0.024427,-0.015243,0.527733,0.0,,288.448438,1253.755
2026-01-28,-0.042359,0.503076,-0.024427,-0.015302,0.527735,0.0,,287.943097,1253.755
2026-01-29,-0.042359,0.504357,-0.024433,-0.01536,0.529722,0.0,,288.037832,1253.755
2026-01-30,-0.042359,0.50429,-0.024433,-0.0153,0.529721,0.0,,290.260851,1253.755
2026-02-02,-0.042359,0.504093,-0.024433,-0.01536,0.529721,0.0,,293.912934,1253.755
2026-02-03,-0.042359,0.504222,-0.024433,-0.01536,0.529722,0.0,,290.435516,1253.755
2026-02-04,-0.042359,0.504369,-0.024433,-0.01536,0.529721,0.0,,285.941869,1253.755
2026-02-05,-0.042359,0.504802,-0.024433,-0.01536,0.529721,0.0,,279.209333,1253.755
2026-02-06,-0.042359,0.50616,-0.024433,-0.01536,0.52972,0.0,,285.751333,1253.755
2026-02-09,-0.042359,0.505324,-0.024433,-0.01536,0.52972,0.0,,289.546318,1253.755
2026-02-10,-0.042359,0.50529,-0.024433,-0.01536,0.52972,0.0,,282.464451,1253.755
2026-02-11,-0.042359,0.506244,-0.024433,-0.01536,0.529719,0.0,,280.54313,1253.755
2026-02-12,-0.042359,0.507582,-0.024433,-0.01536,0.52972,0.0,,266.855782,1253.755
2026-02-13,-0.042359,0.510962,-0.024913,-0.01578,0.529711,0.0,,271.762265,1253.755
2026-02-17,-0.042359,0.510933,-0.024913,-0.01584,0.529718,0.0,,272.381529,1253.755
2026-02-18,-0.042359,0.512149,-0.024913,-0.015889,0.529718,0.0,,280.400228,1253.755
2026-02-19,-0.042359,0.512977,-0.024913,-0.015889,0.529719,0.0,,276.875176,1253.755
2026-02-20,-0.042359,0.513066,-0.024913,-0.01584,0.529718,0.0,,278.526565,1253.755
2026-02-23,-0.042359,0.512926,-0.024913,-0.015889,0.529718,0.0,,264.855087,1253.755
2026-02-24,-0.042359,0.514354,-0.024913,-0.015889,0.529718,0.0,,268.014914,1253.755
2026-02-25,-0.043143,0.514917,-0.024913,-0.015931,0.52972,0.0,,275.858947,1253.755
2026-02-26,-0.043143,0.515585,-0.024913,-0.015957,0.529722,0.0,,281.829317,1253.755
2026-02-27,-0.043143,0.514477,-0.024838,-0.015472,0.512055,0.0,,264.394594,1253.755
2026-03-02,-0.043143,0.551549,-0.025558,-0.016123,0.512051,0.0,,265.172654,1307.618
2026-03-03,-0.043143,0.551549,-0.025559,-0.016145,0.512052,0.0,,263.505396,1307.618
2026-03-04,-0.043143,0.551549,-0.025559,-0.016123,0.512051,0.0,,266.093616,1307.618
2026-03-05,-0.042649,0.54906,-0.024838,-0.015425,0.512053,0.0,,258.106681,1307.618
2026-03-06,-0.042649,0.54906,-0.024838,-0.015425,0.512054,0.0,,254.486362,1307.618
2026-03-09,-0.042649,0.54906,-0.024838,-0.015403,0.512052,0.0,,254.772165,1307.618
2026-03-10,-0.040344,0.531378,-0.024374,-0.014939,0.512054,0.0,,255.248528,1307.618
2026-03-11,-0.040344,0.531378,-0.024374,-0.014961,0.512054,0.0,,255.470828,1307.618
2026-03-12,-0.039127,0.532314,-0.024192,-0.014778,0.512057,0.0,,245.117972,1307.618
2026-03-13,-0.039127,0.532314,-0.024374,-0.014935,0.512055,0.0,,245.911902,1307.618
2026-03-16,-0.039127,0.532314,-0.024374,-0.014936,0.512055,0.0,,247.229829,1307.618
2026-03-17,-0.039127,0.532314,-0.024374,-0.014961,0.512056,0.0,,250.611979,1307.618
2026-03-18,-0.039127,0.532315,-0.024374,-0.014961,0.512055,0.0,,252.358611,1307.618
2026-03-19,-0.039127,0.532315,-0.024355,-0.014789,0.506196,0.0,,251.755241,1307.618
2026-03-20,-0.039127,0.532315,-0.024374,-0.01496,0.51205,0.0,,256.391789,1307.618
2026-03-23,-0.039127,0.532314,-0.024354,-0.014789,0.506169,0.0,,260.917201,1307.618
2026-03-24,-0.039127,0.532314,-0.024354,-0.014789,0.506169,0.0,,263.378365,1307.618
2026-03-25,-0.039127,0.532314,-0.024354,-0.014835,0.50617,0.0,,263.029033,1307.618
