date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-29,-0.042106,0.406981,-0.033792,-0.016401,0.493069,94.636418,,205.151021,2582.027541
2026-01-30,-0.042106,0.40672,-0.033792,-0.016452,0.49307,93.41761,,207.130593,2580.914808
2026-02-02,-0.042106,0.405866,-0.033792,-0.016452,0.493069,94.439421,,199.998451,2546.990888
2026-02-03,-0.042106,0.406575,-0.033792,-0.016401,0.493068,88.920701,,209.767403,2543.042111
2026-02-04,-0.042106,0.410107,-0.033792,-0.016478,0.493072,86.75754,,214.152714,2537.231231
2026-02-05,-0.042106,0.408957,-0.033801,-0.016511,0.492416,88.658303,,207.580664,2519.153776
2026-02-06,-0.042106,0.409761,-0.033798,-0.016508,0.492318,86.066316,,212.951585,2521.290887
2026-02-09,-0.042106,0.411198,-0.033801,-0.016511,0.492408,85.861377,,212.760258,2513.915186
2026-02-10,-0.042106,0.407149,-0.033792,-0.016534,0.493111,82.651787,,219.81811,2531.81961
2026-02-12,-0.042106,0.407847,-0.033602,-0.017041,0.505517,82.288954,,227.688286,2579.113082
2026-02-13,-0.042106,0.407734,-0.033602,-0.01711,0.505523,85.813699,,222.286008,2586.673779
2026-02-16,-0.042106,0.408752,-0.033602,-0.017041,0.505502,89.750734,,215.535282,2587.384861
2026-02-17,-0.038793,0.409409,-0.033786,-0.016635,0.493458,90.775911,,211.830054,2573.404548
2026-02-18,-0.038793,0.409623,-0.033792,-0.016534,0.493085,88.081491,,218.006001,2581.133857
2026-02-19,-0.038793,0.410262,-0.033602,-0.017041,0.505515,85.047875,,220.03481,2555.371639
2026-02-20,-0.038793,0.410895,-0.033602,-0.01711,0.505524,87.567071,,214.487863,2547.680249
2026-02-24,-0.038793,0.411898,-0.033602,-0.01711,0.505517,90.200256,,211.265815,2556.329934
2026-02-25,-0.038793,0.410857,-0.033752,-0.016778,0.495694,91.521112,,205.442032,2535.912702
2026-02-26,-0.038793,0.406529,-0.033602,-0.01704,0.505494,86.800417,,211.828642,2530.717553
2026-02-27,-0.038793,0.406421,-0.033601,-0.017041,0.505518,85.245184,,215.449268,2536.254529
2026-03-02,-0.038793,0.452475,-0.033602,-0.01711,0.505514,99.309582,,203.659975,2523.721598
2026-03-03,-0.038793,0.452475,-0.033865,-0.016695,0.49307,100.546059,,199.614847,2513.707365
2026-03-04,-0.041274,0.463864,-0.033866,-0.016606,0.493065,106.916937,,189.605409,2505.486207
2026-03-05,-0.04371,0.471941,-0.033896,-0.016636,0.493064,105.702946,,197.080901,2518.094793
2026-03-06,-0.04371,0.471941,-0.033896,-0.016725,0.493066,104.478564,,198.150846,2509.287356
2026-03-09,-0.04371,0.471941,-0.033896,-0.016792,0.493066,107.167674,,190.286447,2495.1434
2026-03-10,-0.046342,0.470765,-0.03679,-0.019402,0.557849,105.382636,,195.033433,2504.29561
2026-03-11,-0.046342,0.470765,-0.036792,-0.01948,0.557889,106.494224,,192.058227,2500.082685
2026-03-12,-0.046342,0.470765,-0.036792,-0.019403,0.557882,106.906896,,188.729085,2484.97933
2026-03-13,-0.044889,0.463465,-0.034505,-0.01731,0.497679,105.683375,,188.308604,2482.934625
2026-03-16,-0.044889,0.463465,-0.034322,-0.017062,0.493112,106.2118,,186.325154,2477.301745
2026-03-17,-0.044889,0.463465,-0.034322,-0.017062,0.493118,105.6279,,188.676453,2484.510859
2026-03-18,-0.044889,0.463465,-0.034504,-0.017309,0.497653,103.26422,,194.012338,2487.888083
2026-03-19,-0.044889,0.463465,-0.034505,-0.01731,0.497684,104.247797,,189.733644,2473.782599
2026-03-23,-0.046119,0.465563,-0.036276,-0.019112,0.549502,109.217218,,181.789343,2482.497999
2026-03-24,-0.048416,0.475007,-0.037008,-0.019844,0.549481,108.761797,,187.961618,2494.324634
2026-03-25,-0.048416,0.475007,-0.037009,-0.01992,0.549499,105.86726,,193.332404,2490.568584
2026-03-26,-0.048416,0.475007,-0.03701,-0.019921,0.549513,106.040586,,191.249786,2480.161535
2026-03-27,-0.048416,0.475007,-0.037008,-0.019845,0.549486,106.664468,,189.134978,2475.192246
2026-03-30,-0.048416,0.475007,-0.037008,-0.019845,0.549484,108.182988,,184.634938,2467.005142
2026-03-31,-0.048517,0.474294,-0.037008,-0.019746,0.549479,109.044777,,183.605916,2473.070597
