date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-22,-0.030037,0.513494,-0.020501,-0.012465,0.430053,82.277067,,182.288314,2048.334265
2026-01-23,-0.030037,0.515237,-0.020502,-0.012532,0.430055,84.332677,,180.904394,2062.660267
2026-01-26,-0.030037,0.515204,-0.020501,-0.012465,0.430052,83.705006,,185.568129,2080.882959
2026-01-27,-0.030037,0.515257,-0.020502,-0.012532,0.430055,82.798854,,188.18774,2084.046247
2026-01-28,-0.030037,0.516915,-0.020503,-0.012543,0.430073,85.563933,,187.070652,2108.816205
2026-01-29,-0.030037,0.517203,-0.020501,-0.012532,0.430054,85.110605,,186.942591,2101.819401
2026-01-30,-0.030037,0.516527,-0.020501,-0.012465,0.430054,83.705103,,189.461271,2099.706847
2026-02-02,-0.030037,0.516968,-0.020502,-0.012465,0.430054,80.893217,,192.280202,2079.255503
2026-02-03,-0.030037,0.517645,-0.020502,-0.012532,0.430063,80.375585,,192.119776,2070.399467
2026-02-04,-0.030037,0.517193,-0.020502,-0.012465,0.430055,83.38997,,185.704276,2073.457326
2026-02-05,-0.030037,0.519624,-0.020823,-0.012725,0.430052,85.495105,,181.420147,2070.912597
2026-02-06,-0.030037,0.520689,-0.020823,-0.012725,0.430051,84.020397,,184.410831,2066.741666
2026-02-09,-0.030037,0.51943,-0.020823,-0.012787,0.430054,82.888365,,188.009658,2075.149211
2026-02-10,-0.030037,0.518177,-0.020823,-0.012787,0.430053,83.621756,,188.344839,2088.884058
2026-02-11,-0.030037,0.517805,-0.023232,-0.014474,0.489165,85.950502,,182.493186,2086.350833
2026-02-12,-0.030037,0.516186,-0.023626,-0.014828,0.48915,86.761264,,179.633716,2083.972196
2026-02-13,-0.030037,0.515952,-0.023626,-0.014828,0.489152,88.716418,,174.916423,2082.636344
2026-02-16,-0.030037,0.517894,-0.023625,-0.014827,0.489136,87.057779,,179.329361,2082.463557
2026-02-17,-0.030037,0.51651,-0.023029,-0.014411,0.47542,85.725306,,181.256747,2079.378713
2026-02-18,-0.030037,0.516219,-0.023029,-0.014411,0.475411,83.320247,,186.613691,2079.723867
2026-02-19,-0.030037,0.522585,-0.023031,-0.014451,0.475457,84.998578,,183.26661,2068.666582
2026-02-20,-0.030037,0.523081,-0.023029,-0.014412,0.475426,83.635451,,185.93359,2065.209181
2026-02-23,-0.030037,0.523007,-0.02303,-0.014451,0.475442,82.776884,,189.959884,2076.721023
2026-02-24,-0.030037,0.522095,-0.023545,-0.014747,0.485196,84.434186,,184.522371,2069.544739
2026-02-25,-0.030037,0.520908,-0.023398,-0.014601,0.485197,80.196648,,193.086468,2066.279159
2026-02-26,-0.030037,0.523433,-0.022123,-0.013502,0.446522,81.420898,,192.595862,2073.286004
2026-02-27,-0.030037,0.523449,-0.022123,-0.013437,0.446522,83.680994,,187.058514,2071.156924
2026-03-02,-0.030037,0.525011,-0.022482,-0.01376,0.44652,87.928629,,176.553554,2063.509347
2026-03-03,-0.032692,0.528578,-0.02268,-0.013866,0.446518,92.928493,,164.348793,2052.599119
