date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-27,-0.041105,0.786872,-0.03072,-0.015755,0.481387,0.0,,3199656.606748,300945.083
2026-01-28,-0.041105,0.788251,-0.03072,-0.015755,0.481386,0.0,,3111725.246668,300945.083
2026-01-29,-0.041105,0.787997,-0.03072,-0.015755,0.481385,0.0,,3168688.423532,300945.083
2026-01-30,-0.041105,0.78741,-0.03072,-0.015806,0.481386,0.0,,3199878.07378,300945.083
2026-02-02,-0.041105,0.786699,-0.03072,-0.015806,0.481386,0.0,,3132281.362988,300945.083
2026-02-03,-0.041105,0.789507,-0.031174,-0.01626,0.481385,0.0,,3291450.448619,300945.083
2026-02-04,-0.041105,0.798485,-0.031174,-0.016343,0.481387,0.0,,3348955.33378,300945.083
2026-02-05,-0.041105,0.796728,-0.031174,-0.016411,0.481388,0.0,,3386766.913878,300945.083
2026-02-06,-0.041105,0.795565,-0.031174,-0.016517,0.481389,0.0,,3537736.786443,300945.083
2026-02-09,-0.041105,0.798733,-0.031373,-0.017288,0.503877,0.0,,3592543.063651,300945.083
2026-02-10,-0.041105,0.797777,-0.031587,-0.017573,0.512164,0.0,,3656554.163495,300945.083
2026-02-12,-0.041105,0.799447,-0.031588,-0.017717,0.512174,0.0,,3630466.30922,300945.083
2026-02-13,-0.041105,0.799244,-0.031588,-0.017754,0.512181,0.0,,3537001.73306,300945.083
2026-02-16,-0.041105,0.800731,-0.031587,-0.017753,0.512172,0.0,,3415867.818126,300945.083
2026-02-17,-0.037638,0.798238,-0.031779,-0.017944,0.51217,0.0,,3352317.695464,300945.083
2026-02-18,-0.037638,0.798674,-0.031778,-0.017908,0.512156,0.0,,3437004.168072,300945.083
2026-02-19,-0.037638,0.799648,-0.031779,-0.017944,0.512169,0.0,,3619899.97165,300945.083
2026-02-20,-0.037638,0.799722,-0.031595,-0.017759,0.506631,0.0,,3532489.63585,300945.083
2026-02-24,-0.037638,0.801506,-0.031595,-0.017759,0.506631,0.0,,3429025.35772,300945.083
2026-02-25,-0.037638,0.797943,-0.031595,-0.017759,0.50663,0.0,,3391762.025741,300945.083
