date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-14,-0.034241,0.805177,-0.012744,-0.005658,0.219698,63.220211,,30.803192,859.266
2026-01-15,-0.034241,0.799035,-0.012688,-0.005591,0.218254,63.009504,,31.001337,859.266
2026-01-16,-0.034241,0.800009,-0.012688,-0.005591,0.218254,62.924451,,31.614678,859.266
2026-01-19,-0.034241,0.801838,-0.012688,-0.005591,0.218255,63.004365,,31.468122,859.266
2026-01-20,-0.034241,0.801925,-0.012688,-0.005591,0.218254,63.119918,,30.847805,859.266
2026-01-21,-0.034241,0.804921,-0.012687,-0.005591,0.218251,63.227764,,30.720667,859.266
2026-01-22,-0.034241,0.804697,-0.012687,-0.005591,0.218252,63.14927,,31.122226,859.266
2026-01-23,-0.034241,0.804325,-0.012687,-0.005591,0.218251,63.249181,,30.508106,859.266
2026-01-26,-0.034241,0.804554,-0.012687,-0.005591,0.21825,63.307013,,30.222282,859.266
2026-01-27,-0.034241,0.804572,-0.012687,-0.005591,0.218252,63.252748,,30.526788,859.266
2026-01-28,-0.034241,0.8062,-0.012688,-0.005621,0.218255,63.392636,,29.998738,859.266
2026-01-29,-0.034241,0.80606,-0.012687,-0.005591,0.21825,63.397862,,29.947797,859.266
2026-01-30,-0.034241,0.808512,-0.012687,-0.005574,0.21825,63.390644,,30.372109,859.266
2026-02-02,-0.034241,0.809171,-0.012687,-0.005574,0.218251,63.232274,,31.379124,859.266
2026-02-03,-0.032591,0.806868,-0.01264,-0.005524,0.219698,63.242375,,30.948156,859.266
2026-02-04,-0.032591,0.808286,-0.012585,-0.005472,0.218256,63.356243,,30.531435,859.266
2026-02-05,-0.032591,0.802814,-0.012585,-0.005471,0.218253,63.211001,,30.484739,859.266
2026-02-06,-0.032586,0.796002,-0.012642,-0.005471,0.219731,62.859718,,31.338478,859.266
2026-02-09,-0.032586,0.797799,-0.012642,-0.005508,0.219736,62.895432,,31.425109,859.266
2026-02-10,-0.032586,0.801492,-0.012642,-0.005509,0.219739,63.361053,,29.460104,859.266
2026-02-11,-0.032586,0.80306,-0.012745,-0.005611,0.219721,63.311113,,29.970393,859.266
2026-02-12,-0.032586,0.803517,-0.012745,-0.005612,0.219724,63.571974,,28.59686,859.266
2026-02-13,-0.032586,0.80914,-0.012859,-0.005726,0.219715,63.751928,,28.414544,859.266
2026-02-16,-0.032586,0.808973,-0.012859,-0.005725,0.219712,63.692395,,28.728543,859.266
2026-02-17,-0.032586,0.80972,-0.012859,-0.005726,0.219715,63.630955,,29.192287,859.266
2026-02-18,-0.032586,0.811196,-0.01286,-0.005726,0.219715,63.522957,,30.042251,859.266
2026-02-19,-0.032586,0.815732,-0.01286,-0.005743,0.21972,63.694546,,29.769549,859.266
2026-02-20,-0.032586,0.818226,-0.01286,-0.005743,0.219717,63.699673,,30.147425,859.266
2026-02-23,-0.032586,0.821847,-0.013062,-0.005945,0.227422,63.789618,,30.211371,859.266
2026-02-24,-0.032586,0.821486,-0.013062,-0.005976,0.227428,63.838849,,29.850566,859.266
2026-02-25,-0.032586,0.822019,-0.013061,-0.005944,0.227398,63.789469,,30.241454,859.266
2026-02-26,-0.032586,0.817942,-0.012975,-0.005906,0.225955,64.115971,,30.52991,865.369
