date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-16,-0.035233,0.873484,-0.02924,-0.019103,0.599333,23.312246,,35.757579,343.428
2026-01-20,-0.035233,0.864083,-0.029394,-0.019157,0.593391,23.097634,,35.000641,343.428
2026-01-21,-0.03512,0.86489,-0.029394,-0.019112,0.593385,23.068059,,35.447542,343.428
2026-01-22,-0.03512,0.871385,-0.029333,-0.019095,0.593394,23.228652,,35.880477,343.428
2026-01-23,-0.03512,0.87127,-0.029333,-0.019095,0.593394,23.30325,,35.218504,343.428
2026-01-26,-0.03512,0.873176,-0.029333,-0.019095,0.593394,23.316139,,35.637473,343.428
2026-01-27,-0.03512,0.873506,-0.029333,-0.019095,0.593395,23.325963,,35.645854,343.428
2026-01-28,-0.03512,0.874422,-0.029343,-0.019319,0.601731,23.343113,,35.757579,343.428
2026-01-29,-0.03512,0.879376,-0.028924,-0.019115,0.595374,23.400365,,36.710031,343.428
2026-01-30,-0.03512,0.878514,-0.02877,-0.018908,0.587563,23.389075,,36.550826,343.428
2026-02-02,-0.03512,0.8791,-0.02877,-0.018864,0.587561,23.355325,,37.031243,343.428
2026-02-03,-0.03512,0.879093,-0.02877,-0.018864,0.587561,23.432458,,36.335754,343.428
2026-02-04,-0.03512,0.879795,-0.02877,-0.018864,0.587557,23.396008,,36.877621,343.428
2026-02-05,-0.03512,0.87713,-0.026621,-0.016317,0.563799,23.410399,,35.950306,343.428
2026-02-06,-0.03512,0.879019,-0.027186,-0.016882,0.563797,23.359717,,36.967003,343.428
2026-02-09,-0.03512,0.880218,-0.027186,-0.016882,0.563798,23.341082,,37.506074,343.428
2026-02-10,-0.03512,0.880507,-0.027186,-0.016925,0.563799,23.414009,,36.933482,343.428
2026-02-11,-0.03512,0.881507,-0.027186,-0.016925,0.563798,23.466867,,36.76031,343.428
2026-02-12,-0.03512,0.883453,-0.027186,-0.016925,0.563799,23.691418,,35.279953,343.428
2026-02-13,-0.03512,0.886364,-0.028447,-0.018143,0.563796,23.737433,,35.743613,343.428
2026-02-17,-0.03512,0.886109,-0.028447,-0.018185,0.563797,23.728154,,35.751992,343.428
2026-02-18,-0.03512,0.886395,-0.028447,-0.018143,0.563796,23.688533,,36.221235,343.428
2026-02-19,-0.03512,0.886643,-0.028447,-0.018185,0.563797,23.749521,,35.715682,343.428
2026-02-20,-0.03512,0.886753,-0.028447,-0.018143,0.563796,23.751098,,35.735234,343.428
2026-02-23,-0.03512,0.886551,-0.028447,-0.018143,0.563796,23.826376,,34.950364,343.428
2026-02-24,-0.03512,0.887626,-0.028447,-0.018143,0.563795,23.800289,,35.536922,343.428
2026-02-25,-0.03615,0.889343,-0.028447,-0.018185,0.563796,23.73158,,36.763101,343.428
2026-02-26,-0.03615,0.890278,-0.028447,-0.0182,0.563793,23.744877,,36.944657,343.428
