date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-20,-0.035719,0.83375,-0.02174,-0.011031,0.397767,108.187688,,91.322266,1526.943
2026-01-21,-0.035719,0.833135,-0.021591,-0.010364,0.375973,108.133563,,91.338343,1526.943
2026-01-22,-0.035719,0.833577,-0.021591,-0.010364,0.375978,107.856355,,93.391183,1526.943
2026-01-23,-0.035719,0.832128,-0.02159,-0.010363,0.375942,108.155809,,90.646267,1526.943
2026-01-26,-0.035719,0.831847,-0.02159,-0.010306,0.375931,108.274395,,89.728316,1526.943
2026-01-27,-0.035719,0.831938,-0.02159,-0.010363,0.375932,108.144546,,90.616834,1526.943
2026-01-28,-0.035719,0.833102,-0.02159,-0.010363,0.375932,108.833446,,86.761933,1526.943
2026-01-29,-0.035719,0.835346,-0.02159,-0.010306,0.375931,109.036975,,86.600874,1526.943
2026-01-30,-0.035719,0.83524,-0.02159,-0.010278,0.37593,109.119421,,86.001426,1526.943
2026-02-02,-0.035719,0.833491,-0.02159,-0.010278,0.37593,108.555907,,88.776738,1526.943
2026-02-03,-0.035719,0.834817,-0.02159,-0.010278,0.375931,108.576462,,89.354032,1526.943
2026-02-04,-0.035719,0.834484,-0.02159,-0.010248,0.37593,109.453115,,83.416925,1526.943
2026-02-05,-0.035719,0.834139,-0.02226,-0.010918,0.375927,109.687273,,81.709097,1526.943
2026-02-06,-0.035719,0.835693,-0.02226,-0.010918,0.375926,109.852403,,81.389427,1526.943
2026-02-09,-0.035719,0.831389,-0.02226,-0.010918,0.375927,109.504656,,81.553518,1526.943
2026-02-10,-0.035719,0.852275,-0.02159,-0.010278,0.37593,111.35737,,79.452094,1526.943
2026-02-11,-0.035719,0.853098,-0.02159,-0.010278,0.37593,111.695864,,77.392419,1526.943
2026-02-12,-0.035719,0.848993,-0.021929,-0.010586,0.375927,111.486885,,76.792917,1526.943
2026-02-13,-0.035719,0.851059,-0.021929,-0.010488,0.375926,111.690367,,76.372868,1526.943
2026-02-16,-0.035719,0.851945,-0.021929,-0.010488,0.375926,111.673726,,76.952408,1526.943
2026-02-17,-0.035719,0.852117,-0.021929,-0.010586,0.375927,111.631342,,77.353367,1526.943
2026-02-18,-0.035719,0.852384,-0.021929,-0.010617,0.375927,111.35759,,79.50916,1526.943
2026-02-19,-0.035719,0.856604,-0.021929,-0.010617,0.375928,111.853173,,78.092182,1526.943
2026-02-20,-0.035719,0.857691,-0.021929,-0.010617,0.375927,111.861439,,78.625472,1526.943
2026-02-23,-0.035719,0.855931,-0.021929,-0.010617,0.375927,111.979134,,76.777115,1526.943
2026-02-24,-0.035719,0.856107,-0.021929,-0.010586,0.375926,112.091325,,76.023477,1526.943
2026-02-25,-0.035719,0.856151,-0.021929,-0.010586,0.375925,112.024935,,76.548491,1526.943
2026-02-26,-0.035719,0.856191,-0.021929,-0.010617,0.375926,111.950667,,77.131233,1526.943
