date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-21,-0.029376,0.903192,-0.021558,-0.012912,0.403707,52.349611,,123.543872,791.91
2026-01-22,-0.029376,0.902722,-0.021558,-0.012719,0.403706,52.022717,,126.599181,791.91
2026-01-23,-0.029376,0.906262,-0.021558,-0.012719,0.403707,52.466366,,126.235627,791.91
2026-01-26,-0.029376,0.906208,-0.021558,-0.012514,0.403706,52.275027,,128.380166,791.91
2026-01-27,-0.029376,0.906101,-0.021558,-0.012514,0.403706,52.009115,,131.312485,791.91
2026-01-28,-0.029376,0.906641,-0.021558,-0.012719,0.403707,52.190475,,129.959639,791.91
2026-01-29,-0.029376,0.909412,-0.021558,-0.012719,0.403707,52.560778,,129.49259,791.91
2026-01-30,-0.029376,0.909108,-0.021558,-0.012514,0.403706,52.354242,,131.52922,791.91
2026-02-02,-0.029376,0.909413,-0.021558,-0.012514,0.403706,52.255499,,133.156306,791.91
2026-02-03,-0.029376,0.910532,-0.021558,-0.012719,0.403707,52.203922,,135.449661,791.91
2026-02-04,-0.029376,0.909496,-0.021625,-0.01274,0.404376,52.131756,,134.76554,791.91
2026-02-05,-0.029376,0.909463,-0.021625,-0.012535,0.404375,52.612129,,128.948391,791.91
2026-02-06,-0.029376,0.912017,-0.021736,-0.012645,0.404374,52.803442,,130.327916,791.91
2026-02-09,-0.029376,0.911832,-0.021736,-0.01285,0.404375,52.063596,,139.176089,791.91
2026-02-10,-0.029376,0.914199,-0.020846,-0.011714,0.363138,52.587866,,136.373926,791.91
2026-02-11,-0.029376,0.914142,-0.020846,-0.01154,0.363137,52.869291,,132.721023,791.91
2026-02-12,-0.029376,0.914046,-0.020846,-0.01154,0.363137,52.932758,,131.769924,791.91
2026-02-13,-0.029376,0.912477,-0.020846,-0.011356,0.363136,53.151211,,126.694416,791.91
2026-02-16,-0.029376,0.914489,-0.020827,-0.011615,0.36669,53.332115,,127.376554,791.91
2026-02-17,-0.029376,0.914646,-0.020827,-0.011615,0.36669,53.164789,,129.741558,791.91
2026-02-18,-0.029376,0.916147,-0.020827,-0.011688,0.366691,53.136999,,132.423627,791.91
2026-02-19,-0.029376,0.916753,-0.020827,-0.011874,0.366691,53.509388,,128.526252,791.91
2026-02-20,-0.029376,0.922966,-0.020827,-0.011874,0.366691,54.124345,,130.213662,791.91
2026-02-23,-0.029376,0.923253,-0.020827,-0.011874,0.366691,54.136264,,130.53213,791.91
2026-02-24,-0.029376,0.923064,-0.020827,-0.011688,0.36669,54.267925,,128.351366,791.91
2026-02-25,-0.029376,0.922767,-0.020827,-0.011615,0.36669,54.069523,,130.65119,791.91
