date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-16,-0.034875,0.827924,-0.025533,-0.014191,0.463048,106.687769,,276.075411,1879.914
2026-01-20,-0.034875,0.820599,-0.025533,-0.014161,0.463046,105.713836,,270.702622,1879.914
2026-01-21,-0.033976,0.8211,-0.025533,-0.014161,0.463046,106.116364,,269.0158,1879.914
2026-01-22,-0.033976,0.817376,-0.025533,-0.014099,0.463045,104.186975,,275.013355,1879.914
2026-01-23,-0.033976,0.817771,-0.025533,-0.014099,0.463046,104.852415,,271.639734,1879.914
2026-01-26,-0.033976,0.818411,-0.025533,-0.014099,0.463045,104.443546,,275.044608,1879.914
2026-01-27,-0.033976,0.819276,-0.025533,-0.014161,0.463046,104.319814,,277.106261,1879.914
2026-01-28,-0.033976,0.819481,-0.025533,-0.014191,0.463046,104.724698,,274.982125,1879.914
2026-01-29,-0.033976,0.824612,-0.025533,-0.014161,0.463054,104.707348,,283.13507,1879.914
2026-01-30,-0.033976,0.823402,-0.025648,-0.014023,0.457554,104.468262,,282.666502,1879.914
2026-02-02,-0.033976,0.824188,-0.025648,-0.013993,0.457554,103.773309,,288.226742,1879.914
2026-02-03,-0.033976,0.824714,-0.025648,-0.013993,0.457555,103.892642,,288.351686,1879.914
2026-02-04,-0.033976,0.823997,-0.025648,-0.013993,0.457555,103.282711,,290.944391,1879.914
2026-02-05,-0.033976,0.822458,-0.025648,-0.014023,0.457555,103.447312,,287.414573,1879.914
2026-02-06,-0.033976,0.821975,-0.025648,-0.013993,0.457554,102.080491,,294.979778,1879.914
2026-02-09,-0.033976,0.823892,-0.025648,-0.013993,0.457555,102.275317,,296.98879,1879.914
2026-02-10,-0.033976,0.823775,-0.025648,-0.013993,0.457555,103.617212,,288.513272,1879.914
2026-02-11,-0.033976,0.824489,-0.025676,-0.014021,0.457554,105.307167,,279.22156,1879.914
2026-02-12,-0.033976,0.82615,-0.025815,-0.01416,0.457553,107.069266,,270.871608,1879.914
2026-02-13,-0.033976,0.829273,-0.026129,-0.014414,0.457519,107.507541,,273.037584,1879.914
2026-02-17,-0.033976,0.829087,-0.026131,-0.014476,0.457552,107.253273,,274.355994,1879.914
2026-02-18,-0.033976,0.831317,-0.026131,-0.014506,0.457553,107.251214,,277.997319,1879.914
2026-02-19,-0.033976,0.83218,-0.026131,-0.014506,0.457553,107.951586,,274.889632,1879.914
2026-02-20,-0.033976,0.832323,-0.026131,-0.014476,0.457552,107.440759,,278.436789,1879.914
2026-02-23,-0.033976,0.833074,-0.026131,-0.014506,0.457552,109.344328,,267.293054,1879.914
2026-02-24,-0.033976,0.835218,-0.026541,-0.014917,0.457512,110.147621,,265.472379,1879.914
2026-02-25,-0.035273,0.833947,-0.026543,-0.014918,0.457535,108.786936,,272.346982,1879.914
